800.09,WS
900.10,H
100.11,RD
200.12,ML
300.13,AS
400.14,JWvG
500.15,CD
600.16,HF
700.17,WAM
800.18,JA
900.19,NB
100.20,IK
200.21,MiMaK
534.22,LB
551.46,AW
610.69,H
620.11,A
658.40,HF
780.92,LvB
791.43,AH
823.91,VW
910.45,CC
940.53,AF
101.24,A
201.74,Lz
301.92,MW
401.42,FdS
501.07,GG
601.08,NT
701.09,CMo
801.10,MdCS 
901.11,IB 
510.92,PT
520.92,GA
530.92,EN
540.92,DM
550.92,JC
560.92,CRD
570.92,CRL
580.92,GTL
590.92,JAD
600.92,AGB
610.92,FN
620.92,TS
630.92,GB
640.92,MF
650.92,HTF
660.92,LPP
670.92,JW
680.92,EB
690.92,TC
700.92,LB
511.92,PT
522.92,GA
533.92,EN
544.92,DM
555.92,JC
566.92,CRD
577.92,CRL
588.92,GTL
599.92,JAD
611.92,AGB
622.92,FN
633.92,TS
644.92,GB
655.92,MF
666.92,HTF
677.92,LPP
688.92,JW
699.92,EB
711.92,TC
722.92,LB
123.45,AB
234.56,CD
345.67,EF
456.78,GH
567.89,IJ
678.90,KL
789.01,MN
890.12,OP
901.23,QR
012.34,ST
123.45,AB
234.56,CD
345.67,EF
456.78,GH
567.89,IJ
678.90,KL
789.01,MN
890.12,OP
901.23,QR
012.34,ST
012.34,AB
123.45,CD
789.01,EF
701.23,GH
017.89,IJ
107.89,KL
170.89,MN
710.89,OP
071.89,QR
701.89,ST
